Domain	Phylum	Class	Order	Family	Genus	Segments(Nodes)	Links(Edges)	No. genomes	Ref
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	155757	207072	10	GCF_013300725.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Kangiellaceae	Pleionea	629	809	4	GCF_007570825.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-11	11204	14745	35	GCA_016290385.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	4	2	40	GCF_003585765.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-15	Bact-19	1914	2431	19	GCA_002412425.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	72156	96037	659	GCA_900770845.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella_A	93203	124783	12	GCA_017555825.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Primorskyibacter	603	697	3	GCF_004342065.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	185800	247793	20	GCF_002161555.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Profundibacter	259	0	10	GCA_003535335.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	307	0	7	GCA_023301665.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudaminobacter	414985	554042	8	GCF_011045125.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	1117094	1513176	29	GCF_014844055.1
Bacteria	Bacillota_A	Clostridia	Acetivibrionales	DSM-2933	Pseudobacter	265	346	9	GCF_012927185.1
Bacteria	Pseudomonadota	Alphaproteobacteria	UBA828	UBA828	PTKB01	74	0	4	GCA_002717225.1
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	424	0	10	GCA_943914745.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Pseudogulbenkiania	759802	1025165	4	GCF_000527175.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia	2469	3653	34	GCF_900114675.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella_A	1197133	1671131	9	GCF_002007565.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	442384	621341	94	GCF_001444505.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	665	0	26	GCA_003167015.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Baumannia	2	0	4	GCA_001269425.1
Bacteria	Spirochaetota	Spirochaetia	Treponematales	Rectinemataceae	Rectinema	325	0	10	GCA_021813065.1
Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	Bipolaricaulis	8146	10429	9	GCA_020062805.1
Bacteria	Bacillota_A	Clostridia	UBA1381	UBA9506	RGIG1666	17	0	4	GCA_017399695.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Bizionia	1018	838	3	GCA_018067115.1
Bacteria	Bacillota_A	Clostridia	UMGS1810	UMGS1810	RGIG1828	6458	8116	10	GCA_017549745.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	BJGN01	478635	640857	3	GCA_017858735.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	RGIG1902	136	0	7	GCA_934636325.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Blastochloris	1	0	3	GCF_001402875.1
Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	RGIG1988	240	0	4	GCA_017521775.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	496133	668915	8	GCF_003201955.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	RGIG3102	19	0	20	GCA_934526065.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	1117062	1769609	48	GCF_014252015.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG4284	45	0	4	GCA_017464645.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	21405	28323	87	GCA_019118645.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	RGIG426	375	0	12	GCA_017387165.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	2566	3131	116	GCA_019114495.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	RGIG4608	32278	42947	4	GCA_017504245.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Blochmannia	1	0	13	GCF_000973545.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	RGIG577	RGIG577	16305	21714	3	GCA_017513095.1
Bacteria	Bacteroidota	SZUA-365	SZUA-365	SZUA-365	BM516	25	0	5	GCA_020444325.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	UBA644	RGIG995	123	10	5	GCA_017623895.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BM520	BM520	819	0	3	GCA_009930445.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	1915	2703	7	GCF_014243345.1
Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	BD2-11	265804	362825	8	GCA_012267435.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rouxiella	51360	71135	6	GCF_012933545.1
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bdellovibrio	1160513	1560242	18	GCF_001592745.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	RUG11198	18949	25278	15	GCA_945867665.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	BM524	156945	209195	4	GCA_013151215.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	RUG11200	52	0	3	GCA_017396145.1
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	BMS3ABIN03	1	0	6	GCA_020354005.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	QAMX01	RUG11797	116563	155220	5	GCA_015068345.1
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	BN30871	7293	9594	10	GCA_001493195.1
Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	RUG11872	203	0	3	GCA_902773425.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	451	0	7	GCA_021779875.1
Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RUG11894	156370	209526	8	GCA_017557505.1
Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA183	BOG-1369	77	0	4	GCA_021791695.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	RUG12461	415	0	4	GCA_016286115.1
Bacteria	Dormibacterota	Dormibacteria	UBA8260	Bog-877	Bog-877	632	431	4	GCA_003135035.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Bianqueaceae	RUG12817	295	0	3	GCA_902782895.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	BOG-930	253	0	5	GCA_021780035.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	RUG12867	142	0	3	GCA_902783405.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931	107	0	4	GCA_021324465.1
Bacteria	Bacillota_A	Clostridia	RUG12999	RUG12999	RUG12999	19	0	4	GCA_017396395.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	BOG-933	269	0	3	GCA_903920145.1
Bacteria	Bacillota	Bacilli	RFN20	CAG-826	RUG13091	35933	47859	8	GCA_017619815.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	LD1	Bog-950	174	0	12	GCA_903861145.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	RUG13160	920	1137	4	GCA_902786275.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	BOKV01	536	0	4	GCA_020441795.1
Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RUG13409	353	174	11	GCA_024403175.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Bombella	260038	347275	6	GCF_009725755.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	RUG131	7633	10146	11	GCA_022508525.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Bordetella_B	726485	972572	5	GCF_900078705.1
Bacteria	Pseudomonadota	Alphaproteobacteria	RUG11792	RUG11792	RUG14087	43	0	3	GCA_902796345.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Bordetella_C	3513934	4879016	12	GCF_002119685.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-74	RUG14130	246	0	9	GCA_902796025.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Bordetella	434	0	36	GCA_023386765.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	RUG14891	140	0	4	GCA_902803685.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	Borkfalkiaceae	Borkfalkia	199	0	38	GCA_944328645.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Bianqueaceae	RUG159	2368	2891	4	GCA_900316145.1
Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borrelia	1289575	1948238	14	GCF_023035295.1
Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	CAG-239	RUG410	1086	1181	36	GCA_900313155.1
Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borreliella	482290	669883	16	GCF_014205895.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-74	RUG563	8578	11402	32	GCA_017470945.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	2433357	3399549	54	GCF_001748145.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	RUG592	217	0	21	GCA_900317815.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Boseongicola	50495	67266	5	GCF_900184815.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	RUG714	147	0	7	GCA_902796055.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Alteromonadaceae	Bowmanella	34601	46209	4	GCF_002887595.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-74	RUG740	86	0	36	GCA_024404245.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Brachymonas	89	0	7	GCA_017993135.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Runella	664288	884684	9	GCF_014195535.1
Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	B-DKE	1	0	4	GCA_016806715.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	2813	3678	17	GCA_019119935.1
Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	41435	55258	27	GCF_000384655.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Saccharibacter	221722	295768	3	GCF_000378165.1
Bacteria	Bacillota	Bacilli	Erysipelotrichales	Coprobacillaceae	Beduini	299	0	5	GCA_900550005.1
Bacteria	Bacillota_A	Clostridia	Saccharofermentanales	Saccharofermentanaceae	Saccharofermentans	59078	79104	86	GCA_905234715.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Belnapia	1972599	2700942	6	GCF_000802185.1
Bacteria	Bacillota	Bacilli	Bacillales_H	Marinococcaceae	Salibacterium	111391	148550	3	GCF_900114715.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	154868	209358	233	GCA_023390955.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salibaculum	8418	11149	4	GCF_002094885.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Berkiellales	Berkiellaceae	Berkiella	71	0	7	GCA_001898235.1
Bacteria	Bacillota	Bacilli	Bacillales_D	Halobacillaceae	Salimicrobium	20	0	4	GCF_900100295.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-6294	Bermanella	307	0	7	GCA_913054445.1
Bacteria	Bacillota	Bacilli	Bacillales_D	Alkalibacillaceae	Salinibacillus	23	0	3	GCF_900111405.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	Bernardetia	8625	11413	4	GCA_020630575.1
Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Salinibacteraceae	Salinibacter	19	0	14	GCA_003022435.1
Bacteria	Bacillota	Bacilli	Mycoplasmatales	Hepatoplasmataceae	Bg2	54319	72526	4	GCA_001641205.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Salinicola	683893	931249	17	GCF_003206645.1
Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Bhargavaea	1149137	1579450	8	GCF_018390575.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salipiger	102074	136175	19	GCF_900102075.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Bin65	Bin65	Bin65	69170	92705	5	GCA_900197615.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	384878	513185	5	GCF_008692845.1
Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	SAR86A	5568	7368	35	GCA_002710265.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella	1656074	2441496	58	GCF_013388295.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	Borkfalkiaceae	Scatosoma	65	0	65	GCA_017504465.1
Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	48	0	6	GCA_009838195.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Schlegelella_A	9017	12008	4	GCF_013366375.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	45212	61040	9	GCF_003315515.1
Bacteria	Bacillota_A	Clostridia	Tissierellales	Tepidimicrobiaceae	Schnuerera	64358	86436	3	GCF_021655095.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Basfia_A	121	120	5	GCA_000017245.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BRH-c54	79117	105360	5	GCA_002770955.1
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	320399	427860	3	GCF_000024405.1
Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	Bin94	3869	5096	14	GCA_022822325.1
Bacteria	Bacillota_A	Clostridia	Tissierellales	Sedimentibacteraceae	Sedimentibacter	3300	4131	26	GCA_003457065.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	1993057	2752448	41	GCF_008011855.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Bauldia	7867	10020	9	GCA_022841545.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buchnera	1	0	60	GCF_024029895.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	485348	648445	92	GCA_017537025.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Bin95	Bin95	Bin95	297874	400610	7	GCA_022822125.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia	3867	5857	23	GCF_005518135.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	2221710	3121276	19	GCF_010994755.1
Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	BIN-L-1	1	0	6	GCA_020344315.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	SHVO01	346	0	5	GCA_019752235.1
Bacteria	Pseudomonadota	Alphaproteobacteria	SHVV01	SHVV01	SHVV01	92	0	3	GCA_009694095.1
Bacteria	Bacillota	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus_B	346	348	5	GCF_021245735.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	SIG204	91859	123148	6	GCA_934162195.1
Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Breznakia	45552	60682	3	GCA_001695645.1
Bacteria	Bacillota	Bacilli	RFN20	CAG-826	SIG220	24725	32968	4	GCA_015059065.1
Bacteria	Bacillota_A	Clostridia	Lutisporales	Lutisporaceae	BRH-c25	114820	153561	6	GCA_017994115.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	SIG293	67067	89313	3	GCA_024698345.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccomorpha	4319	5402	3	GCA_944380155.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Sinomicrobium	58	0	5	GCF_900119185.1
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	1291	1768	7	GCF_013385145.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	SLRI01	2364	3152	3	GCA_020638495.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	G3-4614	Caccoplasma	88	0	7	GCA_017694415.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Solimicrobium	1652	2122	6	GCF_002976435.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	40	0	9	GCA_002331485.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	1	0	32	GCF_000974425.1
Bacteria	Eremiobacterota	Xenobia	Xenobiales	Xenobiaceae	Bruticola	479011	650768	8	GCA_934621605.1
Bacteria	Bacillota	Bacilli	Mycoplasmatales	VBWQ01	Spiroplasma_D	4	0	3	GCF_023509825.1
Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	60	0	82	GCA_903789495.1
Bacteria	Bacillota	Bacilli	Mycoplasmatales	MT37	Spiroplasma	132	130	31	GCF_009866525.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	2013Ark19i	Burkholderia	6101823	8865121	67	GCF_001883705.2
Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Sporosarcina	441214	593939	49	GCF_022048975.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	1214204	1670500	13	GCF_000735355.1
Bacteria	Bacteroidota	Bacteroidia	SpSt-205	JAADEI01	SpSt-205	94	0	6	GCA_025057135.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	133895	178886	40	GCA_910577825.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappia	715360	953979	12	GCF_900185725.1
Bacteria	Pseudomonadota	Alphaproteobacteria	ATCC43930	Stellaceae	Stella	19470	25789	4	GCA_006739055.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus_A	1762	2025	11	GCA_945872165.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	2857144	4007755	62	GCF_003696365.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	183	0	30	GCA_019119435.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_A	Sutterella	90553	120904	30	GCA_905186105.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	383795	510055	10	GCF_011927845.1
Bacteria	Bacteroidota	T3Sed10-11	T3Sed10-11	T3Sed10-11	T3Sed10-11	898	741	6	GCA_003568415.1
Bacteria	Bacillota	Bacilli	RFN20	CAG-631	Caccosoma	2414	3159	8	GCA_000433015.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methylopilaceae	Terrihabitans	19	0	5	GCA_001464335.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A	52	0	9	GCA_000431815.1
Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TH5896	27147	35346	4	GCA_014523665.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	789640	1076309	29	GCF_002354895.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio	657707	885778	86	GCF_000420865.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	Thalassobaculum_A	109230	147906	3	GCF_014652915.1
Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	C-19	3656	4729	5	GCA_910576855.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	8594	11482	23	GCF_900104605.1
Bacteria	Pseudomonadota	Alphaproteobacteria	TMED109	TMED109	TMED109	35	0	5	GCA_002171375.1
Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	CAG-239	CAAFZY01	73	0	8	GCA_944391375.1
Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_B	292	0	11	GCA_905372205.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccovicinus	42	0	10	GCA_018713255.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Trinickia	70172	95064	13	GCF_013282575.1
Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	UBA3637	CAAHEQ01	160	0	5	GCA_017632555.1
Bacteria	Bacillota	Bacilli	Tumebacillales	Tumebacillaceae	Tumebacillus_A	307930	409938	3	GCF_002162355.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	4354055	6645846	53	GCF_001544615.1
Bacteria	Bacillota	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	27139	36063	6	GCF_009935875.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CABZJG01	14218	18607	3	GCA_902525995.1
Bacteria	Bacillota	Bacilli	Tumebacillales	Tumebacillaceae	Tumebacillus	31005	41244	6	GCF_000714935.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	TWA4	46	0	3	GCA_000875945.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	AG-422-B15	CACCCN01	39	0	5	GCA_905182345.1
Bacteria	Spirochaetota	Leptospirae	Turneriellales	DYLW01	Turneriella	380	0	5	GCA_017302045.1
Bacteria	Bacillota	Bacilli	RF39	UBA660	Caccenecus	20	0	20	GCA_910585045.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Parvicellaceae	UBA10066	86	0	4	GCA_913030835.1
Bacteria	Bacillota_A	Clostridia	Christensenellales	UBA1242	Caccovivens	54	0	79	GCA_944372465.1
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA11891	51	0	3	GCA_009886755.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CACIIZ01	158133	212025	11	GCA_902573735.1
Bacteria	Bacillota_A	Clostridia	TANB77	UBA1234	UBA1234	53	0	11	GCA_017469565.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CACIJG01	438247	607767	23	GCA_902530595.1
Bacteria	Bacillota_A	Clostridia	UBA1212	UBA1255	UBA1255	2285	2573	8	GCA_902782885.1
Bacteria	Pseudomonadota	Gammaproteobacteria	GCA-002705445	GCA-002716945	CACLCV01	457	543	8	GCA_913045115.1
Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	UBA1248	14096	18764	23	GCA_902762505.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	CACNRH01	11285	15002	5	GCA_902622825.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1394	333	0	12	GCA_900554975.1
Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	CACNXK01	322134	440663	8	GCA_902518715.1
Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1425	57547	76762	9	GCA_902790325.1
Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	AG-339-G14	CACNYO01	334724	452335	8	GCA_902570035.1
Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	UBA1738	83136	110861	12	GCA_017551095.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rs-D84	CACZYB01	CACZYB01	4196	5462	9	GCA_024692925.1
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA1786	205071	273598	16	GCA_024682395.1
Bacteria	Spirochaetota	Spirochaetia	CADAEX01	CADAEX01	CADAEX01	53	0	7	GCA_024402405.1
Bacteria	Edwardsbacteria	AC1	AC1	EtOH8	UBA2226	43746	58285	3	GCA_020053305.1
Bacteria	Pseudomonadota	Alphaproteobacteria	UBA3830	UBA3830	CADBNZ01	748	920	4	GCA_902796155.1
Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	UBA2231	322	0	3	GCA_003500765.1
Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	CADDZS01	CADDZS01	297	0	5	GCA_021806865.1
Bacteria	Bacillota	Bacilli	Izemoplasmatales	UBA5603	UBA2289	3527	4629	5	GCA_002345425.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	CADEED01	814457	1101452	8	GCA_023423065.1
Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	UBA2316	407	417	6	GCA_013359135.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	TH1-2	CADEEL01	172	0	4	GCA_013389015.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_A	UBA2463	240881	321408	11	GCA_018402635.1
